Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,Papel,Payout_Medio,Empresa_Base,PL_Medio_Subsetor
PN N2,ABC Brasil PN N2,Intermediários Financeiros,Bancos,22.11,2025-10-24,18.01,23.48,7656570,5409360000,,2025-06-30,244657000,5.59,082,,,,,,8.8,,,17.9,3.96,26.9,,,0.0,0.0,,14.7,,,,62051300000,0,0,6581400000,2032970000,277509000,967809000,388774000,79091000,244100000,,,,,,,,,ABCB4,49.13,ABCB,8.69
ON,AMBEV S/A ON,Bebidas,Cervejas e Refrigerantes,12.11,2025-10-24,10.52,14.29,324841000,190873000000,176507000000.0,2025-06-30,15761600000,12.94,206,929.0,208.0,134.0,4870.0,-2341.0,8.7,645.0,859.0,7.1,0.94,5.87,51.5,22.4,16.6,14.5,19.4,16.0,111.0,3.0,65.0,142158000000,,,92471600000,,,14752300000,,,2717720000,17524600000,40792000000,3157760000,-14366800000,91719700000,20544900000,20090200000,3864470000,ABEV3,112.08,ABEV,12.94
ON,ALLOS ON,Exploração de Imóveis,Exploração de Imóveis,24.53,2025-10-24,16.42,25.77,76807700,12367800000,9401570000.0,2025-06-30,504191000,16.77,092,889.0,442.0,47.0,493.0,-147.0,5.3,468.0,676.0,41.0,1.46,26.67,74.6,49.7,30.1,5.3,6.0,5.5,291.0,,11.0,26434100000,,,13446800000,,,737411000,,,201401000,2966240000,3817030000,0,-2966240000,2800970000,1391690000,697295000,351830000,ALOS3,89.05,ALOS,14.56
PN N1,ALPARGATAS PN N1,"Tecidos, Vestuário e Calçados",Calçados,10.58,2025-10-24,5.91,10.58,18429900,7226800000,7046780000.0,2025-06-30,683062000,27.81,175,1640.0,166.0,117.0,429.0,745.0,1.0,1005.0,1600.0,1.8,0.38,6.05,46.7,10.1,5.9,7.1,9.1,6.3,225.0,17.0,70.0,6194670000,,,4133620000,,,259851000,,,87892000,864577000,3031060000,684564000,-180013000,4353860000,440526000,1101360000,179041000,ALPA4,27.84,ALPA,13.73
ON NM,ANIMA ON NM,Diversos,Serviços Educacionais,3.33,2025-10-24,1.49,4.44,18309000,1344880000,5367730000.0,2025-06-30,403869000,9.57,057,124.0,35.0,13.0,104.0,-29.0,1.6,353.0,497.0,18.7,0.35,5.89,61.0,27.9,7.2,10.8,12.9,5.9,222.0,230.0,39.0,10000000000,,,2379050000,,,140564000,,,9539000,1444280000,2358350000,5467130000,4022850000,3879120000,1080490000,1005340000,284927000,ANIM3,15.22,ANIM,9.43
ON NM,ARMAC ON NM,Diversos,Aluguel de carros,3.43,2025-10-24,2.85,7.93,4647930,1188470000,3094830000.0,2025-06-30,346494000,16.2,096,279.0,64.0,26.0,138.0,-65.0,6.2,465.0,726.0,39.2,0.21,3.56,35.9,22.9,4.2,9.3,11.7,6.0,242.0,205.0,41.0,4585300000,,,1232630000,,,73350000,,,-6493000,623332000,1465550000,2529690000,1906360000,1861860000,426538000,451467000,82075000,ARML3,101.27,ARML,13.51
ON NM,ASSAI ON NM,Comércio e Distribuição,Alimentos,8.23,2025-10-24,5.06,11.86,174705000,11138800000,23278800000.0,2025-06-30,1353440000,12.08,199,198.0,15.0,25.0,777.0,-47.0,1.3,317.0,413.0,26.2,0.68,4.14,16.7,7.4,1.2,12.7,19.1,16.5,111.0,296.0,172.0,44303000000,,,5599000000,,,922000000,,,219000000,4459000000,15053000000,16599000000,12140000000,76280000000,5634000000,19002000000,1390000000,ASAI3,15.73,ASAI,11.06
PN,AZUL PN,Transporte,Transporte Aéreo,1.14,2025-10-24,0.55,6.11,53339400,1053850000,32901900000.0,2025-06-30,924426000,0.06,-004,25.0,5.0,4.0,-7.0,-2.0,0.0,459.0,772.0,32.4,18.58,-28.17,29.2,20.3,81.7,15.8,20.6,-65.9,34.0,-132.0,78.0,26897000000,,,-26040500000,,,17171700000,,,1468000000,2593070000,7180130000,34441100000,31848100000,21011800000,4259350000,4942340000,164744000,AZUL4,0.0,AZUL,0.06
ON,AZZAS 2154 ON,Comércio,"Tecidos, Vestuário e Calçados",28.04,2025-10-24,21.50,45.30,67442000,5789980000,8000180000.0,2025-06-30,206490000,7.29,069,617.0,50.0,37.0,223.0,-1860.0,2.1,511.0,852.0,45.3,3.85,40.39,54.7,8.1,6.9,6.0,7.1,9.5,161.0,36.0,74.0,15516800000,,,8339550000,,,794689000,,,537654000,823162000,6865970000,3033360000,2210200000,11548400000,938632000,2901380000,352401000,AZZA3,15.29,AZZA,10.26
ON,B3 ON,Serviços Financeiros Diversos,Serviços Financeiros Diversos,12.5,2025-10-24,8.97,14.81,372554000,65831300000,65747900000.0,2025-06-30,5266500000,13.67,334,1036.0,611.0,140.0,648.0,-607.0,2.2,974.0,1035.0,1.0,0.91,3.75,90.6,58.9,44.7,13.5,19.8,24.4,262.0,74.0,23.0,47031000000,,,19736100000,,,4814670000,,,1325650000,14621500000,16426800000,14538100000,-83344400,10782100000,6353300000,2745800000,1697950000,B3SA3,30.22,B3SA,13.67
ON,BANCO DO BRASIL S.A. ON,Intermediários Financeiros,Bancos,20.52,2025-10-24,18.35,29.30,674166000,117597000000,,2025-06-30,5730830000,4.28,067,,,,,,8.4,,,7.1,4.79,30.49,,,0.0,0.0,,15.7,,,,2400620000000,0,0,174734000000,46534100000,20464700000,27474600000,6359170000,4937150000,3085410000,,,,,,,,,BBAS3,35.98,BBAS,8.69
ON NM,BLAU ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,12.7,2025-10-24,11.41,16.63,2419260,2278300000,2484240000.0,2025-06-30,179394000,8.06,101,602.0,129.0,66.0,205.0,559.0,2.7,567.0,657.0,7.4,1.58,12.63,40.0,21.4,15.8,10.9,13.0,12.5,317.0,22.0,51.0,3470560000,,,2266030000,,,282667000,,,63350000,297922000,1625860000,503859000,205937000,1767420000,378302000,464826000,102608000,BLAU3,21.7,BLAU,15.19
ON NM,BEMOBI TECH ON NM,Programas e Serviços,Programas e Serviços,22.3,2025-10-24,12.38,23.60,7505810,1909070000,1435630000.0,2025-06-30,85608400,15.16,169,1476.0,121.0,118.0,282.0,320.0,7.6,723.0,1110.0,51.1,1.47,13.17,24.1,8.2,8.1,8.0,12.9,11.2,265.0,2.0,97.0,1620650000,,,1127180000,,,125958000,,,33233000,492436000,1084740000,19002000,-473434000,1577270000,129363000,408524000,36046000,BMOB3,115.29,BMOB,32.82
